        Frequency / GHz                SZmax(1),Zmax(1) (Lx=8)/abs,dB
                  3.4674                      -17.356879
                  3.4823                      -17.351947
                  3.4972                      -17.347413
                  3.5121                      -17.343279
                   3.527                      -17.339543
                  3.5419                      -17.336207
                  3.5568                      -17.333273
                  3.5717                       -17.33074
                  3.5866                      -17.328609
                  3.6015                      -17.326882
                  3.6164                      -17.325559
                  3.6313                      -17.324642
                  3.6462                      -17.324132
                  3.6611                      -17.324029
                   3.676                      -17.324336
                  3.6909                      -17.325052
                  3.7058                       -17.32618
                  3.7207                      -17.327721
                  3.7356                      -17.329676
                  3.7505                      -17.332048
                  3.7654                      -17.334836
                  3.7803                      -17.338044
                  3.7952                      -17.341672
                  3.8101                      -17.345723
                   3.825                      -17.350197
                  3.8399                      -17.355098
                  3.8548                      -17.360427
                  3.8697                      -17.366186
                  3.8846                      -17.372376
                  3.8995                      -17.379001
                  3.9144                      -17.386063
                  3.9293                      -17.393562
                  3.9442                      -17.401503
                  3.9591                      -17.409887
                   3.974                      -17.418717
                  3.9889                      -17.427995
                  4.0038                      -17.437724
                  4.0187                      -17.447906
                  4.0336                      -17.458545
                  4.0485                      -17.469643
                  4.0634                      -17.481204
                  4.0783                       -17.49323
                  4.0932                      -17.505724
                  4.1081                      -17.518689
                   4.123                       -17.53213
                  4.1379                      -17.546049
                  4.1528                      -17.560449
                  4.1677                      -17.575335
                  4.1826                      -17.590709
                  4.1975                      -17.606576
                  4.2124                       -17.62294
                  4.2273                      -17.639804
                  4.2422                      -17.657173
                  4.2571                      -17.675051
                   4.272                      -17.693441
                  4.2869                      -17.712349
                  4.3018                      -17.731779
                  4.3167                      -17.751735
                  4.3316                      -17.772223
                  4.3465                      -17.793247
                  4.3614                      -17.814812
                  4.3763                      -17.836924
                  4.3912                      -17.859587
                  4.4061                      -17.882807
                   4.421                       -17.90659
                  4.4359                      -17.930941
                  4.4508                      -17.955866
                  4.4657                      -17.981371
                  4.4806                      -18.007463
                  4.4955                      -18.034147
                  4.5104                       -18.06143
                  4.5253                      -18.089319
                  4.5402                      -18.117821
                  4.5551                      -18.146942
                    4.57                       -18.17669
                  4.5849                      -18.207072
                  4.5998                      -18.238096
                  4.6147                      -18.269769
                  4.6296                        -18.3021
                  4.6445                      -18.335097
                  4.6594                      -18.368767
                  4.6743                      -18.403121
                  4.6892                      -18.438166
                  4.7041                      -18.473913
                   4.719                      -18.510369
                  4.7339                      -18.547546
                  4.7488                      -18.585452
                  4.7637                      -18.624099
                  4.7786                      -18.663496
                  4.7935                      -18.703654
                  4.8084                      -18.744585
                  4.8233                        -18.7863
                  4.8382                       -18.82881
                  4.8531                      -18.872128
                   4.868                      -18.916266
                  4.8829                      -18.961237
                  4.8978                      -19.007055
                  4.9127                      -19.053731
                  4.9276                      -19.101282
                  4.9425                       -19.14972
                  4.9574                      -19.199062
                  4.9723                      -19.249322
                  4.9872                      -19.300515
                  5.0021                      -19.352659
                   5.017                      -19.405769
                  5.0319                      -19.459864
                  5.0468                      -19.514961
                  5.0617                      -19.571079
                  5.0766                      -19.628236
                  5.0915                      -19.686452
                  5.1064                      -19.745748
                  5.1213                      -19.806144
                  5.1362                      -19.867662
                  5.1511                      -19.930325
                   5.166                      -19.994156
                  5.1809                      -20.059178
                  5.1958                      -20.125417
                  5.2107                      -20.192898
                  5.2256                      -20.261649
                  5.2405                      -20.331695
                  5.2554                      -20.403067
                  5.2703                      -20.475794
                  5.2852                      -20.549906
                  5.3001                      -20.625436
                   5.315                      -20.702417
                  5.3299                      -20.780883
                  5.3448                       -20.86087
                  5.3597                      -20.942416
                  5.3746                      -21.025558
                  5.3895                      -21.110338
                  5.4044                      -21.196797
                  5.4193                      -21.284979
                  5.4342                      -21.374931
                  5.4491                      -21.466698
                   5.464                      -21.560331
                  5.4789                      -21.655882
                  5.4938                      -21.753406
                  5.5087                      -21.852957
                  5.5236                      -21.954597
                  5.5385                      -22.058386
                  5.5534                       -22.16439
                  5.5683                      -22.272677
                  5.5832                      -22.383318
                  5.5981                      -22.496389
                   5.613                      -22.611967
                  5.6279                      -22.730137
                  5.6428                      -22.850985
                  5.6577                      -22.974603
                  5.6726                      -23.101089
                  5.6875                      -23.230543
                  5.7024                      -23.363075
                  5.7173                      -23.498798
                  5.7322                      -23.637834
                  5.7471                       -23.78031
                   5.762                      -23.926363
                  5.7769                      -24.076136
                  5.7918                      -24.229784
                  5.8067                      -24.387469
                  5.8216                      -24.549366
                  5.8365                      -24.715661
                  5.8514                      -24.886553
                  5.8663                      -25.062255
                  5.8812                      -25.242995
                  5.8961                      -25.429019
                   5.911                      -25.620591
                  5.9259                      -25.817997
                  5.9408                      -26.021543
                  5.9557                      -26.231563
                  5.9706                      -26.448418
                  5.9855                      -26.672502
                  6.0004                      -26.904242
                  6.0153                      -27.144108
                  6.0302                       -27.39261
                  6.0451                      -27.650314
                    6.06                      -27.917841
                  6.0749                      -28.195876
                  6.0898                      -28.485183
                  6.1047                       -28.78661
                  6.1196                      -29.101106
                  6.1345                      -29.429738
                  6.1494                      -29.773708
                  6.1643                      -30.134382
                  6.1792                      -30.513316
                  6.1941                      -30.912295
                   6.209                      -31.333382
                  6.2239                      -31.778976
                  6.2388                      -32.251892
                  6.2537                       -32.75546
                  6.2686                      -33.293661
                  6.2835                       -33.87131
