        Frequency / GHz                SZmax(1),Zmin(1) (Lx=8) (Re)/
                  3.4674                      0.60157232
                  3.4823                      0.59845271
                  3.4972                      0.59532386
                  3.5121                       0.5921858
                   3.527                      0.58903857
                  3.5419                      0.58588218
                  3.5568                      0.58271667
                  3.5717                      0.57954206
                  3.5866                      0.57635838
                  3.6015                      0.57316565
                  3.6164                      0.56996391
                  3.6313                      0.56675318
                  3.6462                      0.56353348
                  3.6611                      0.56030483
                   3.676                      0.55706728
                  3.6909                      0.55382083
                  3.7058                      0.55056551
                  3.7207                      0.54730136
                  3.7356                      0.54402838
                  3.7505                      0.54074661
                  3.7654                      0.53745606
                  3.7803                      0.53415677
                  3.7952                      0.53084875
                  3.8101                      0.52753203
                   3.825                      0.52420663
                  3.8399                      0.52087257
                  3.8548                      0.51752987
                  3.8697                      0.51417855
                  3.8846                      0.51081864
                  3.8995                      0.50745016
                  3.9144                      0.50407312
                  3.9293                      0.50068755
                  3.9442                      0.49729346
                  3.9591                      0.49389089
                   3.974                      0.49047984
                  3.9889                      0.48706033
                  4.0038                       0.4836324
                  4.0187                      0.48019605
                  4.0336                       0.4767513
                  4.0485                      0.47329817
                  4.0634                      0.46983669
                  4.0783                      0.46636687
                  4.0932                      0.46288872
                  4.1081                      0.45940227
                   4.123                      0.45590754
                  4.1379                      0.45240454
                  4.1528                      0.44889328
                  4.1677                       0.4453738
                  4.1826                       0.4418461
                  4.1975                      0.43831019
                  4.2124                      0.43476611
                  4.2273                      0.43121386
                  4.2422                      0.42765347
                  4.2571                      0.42408494
                   4.272                       0.4205083
                  4.2869                      0.41692356
                  4.3018                      0.41333074
                  4.3167                      0.40972986
                  4.3316                      0.40612092
                  4.3465                      0.40250395
                  4.3614                      0.39887897
                  4.3763                      0.39524599
                  4.3912                      0.39160502
                  4.4061                      0.38795608
                   4.421                      0.38429919
                  4.4359                      0.38063437
                  4.4508                      0.37696163
                  4.4657                      0.37328098
                  4.4806                      0.36959244
                  4.4955                      0.36589604
                  4.5104                      0.36219178
                  4.5253                      0.35847968
                  4.5402                      0.35475976
                  4.5551                      0.35103203
                    4.57                      0.34729651
                  4.5849                      0.34355322
                  4.5998                      0.33980217
                  4.6147                      0.33604338
                  4.6296                      0.33227687
                  4.6445                      0.32850265
                  4.6594                      0.32472075
                  4.6743                      0.32093117
                  4.6892                      0.31713394
                  4.7041                      0.31332907
                   4.719                      0.30951658
                  4.7339                      0.30569649
                  4.7488                      0.30186882
                  4.7637                      0.29803359
                  4.7786                       0.2941908
                  4.7935                      0.29034049
                  4.8084                      0.28648268
                  4.8233                      0.28261737
                  4.8382                       0.2787446
                  4.8531                      0.27486437
                   4.868                      0.27097672
                  4.8829                      0.26708165
                  4.8978                       0.2631792
                  4.9127                      0.25926938
                  4.9276                      0.25535222
                  4.9425                      0.25142773
                  4.9574                      0.24749594
                  4.9723                      0.24355687
                  4.9872                      0.23961055
                  5.0021                      0.23565699
                   5.017                      0.23169622
                  5.0319                      0.22772826
                  5.0468                      0.22375315
                  5.0617                       0.2197709
                  5.0766                      0.21578153
                  5.0915                      0.21178509
                  5.1064                      0.20778158
                  5.1213                      0.20377105
                  5.1362                       0.1997535
                  5.1511                      0.19572899
                   5.166                      0.19169752
                  5.1809                      0.18765914
                  5.1958                      0.18361387
                  5.2107                      0.17956174
                  5.2256                      0.17550278
                  5.2405                      0.17143702
                  5.2554                       0.1673645
                  5.2703                      0.16328525
                  5.2852                      0.15919929
                  5.3001                      0.15510668
                   5.315                      0.15100743
                  5.3299                      0.14690159
                  5.3448                      0.14278919
                  5.3597                      0.13867026
                  5.3746                      0.13454485
                  5.3895                        0.130413
                  5.4044                      0.12627473
                  5.4193                       0.1221301
                  5.4342                      0.11797914
                  5.4491                       0.1138219
                   5.464                      0.10965841
                  5.4789                      0.10548872
                  5.4938                      0.10131287
                  5.5087                     0.097130909
                  5.5236                     0.092942882
                  5.5385                     0.088748834
                  5.5534                     0.084548814
                  5.5683                     0.080342868
                  5.5832                     0.076131047
                  5.5981                       0.0719134
                   5.613                     0.067689979
                  5.6279                     0.063460836
                  5.6428                     0.059226024
                  5.6577                     0.054985597
                  5.6726                     0.050739611
                  5.6875                     0.046488121
                  5.7024                     0.042231184
                  5.7173                      0.03796886
                  5.7322                     0.033701207
                  5.7471                     0.029428287
                   5.762                     0.025150159
                  5.7769                     0.020866889
                  5.7918                     0.016578538
                  5.8067                     0.012285173
                  5.8216                    0.0079868593
                  5.8365                    0.0036836646
                  5.8514                  -0.00062434263
                  5.8663                   -0.0049370925
                  5.8812                   -0.0092545139
                  5.8961                    -0.013576535
                   5.911                    -0.017903081
                  5.9259                    -0.022234078
                  5.9408                    -0.026569451
                  5.9557                     -0.03090912
                  5.9706                    -0.035253008
                  5.9855                    -0.039601035
                  6.0004                     -0.04395312
                  6.0153                    -0.048309178
                  6.0302                    -0.052669127
                  6.0451                    -0.057032882
                    6.06                    -0.061400354
                  6.0749                    -0.065771456
                  6.0898                    -0.070146098
                  6.1047                    -0.074524189
                  6.1196                    -0.078905636
                  6.1345                    -0.083290346
                  6.1494                    -0.087678223
                  6.1643                     -0.09206917
                  6.1792                    -0.096463088
                  6.1941                     -0.10085988
                   6.209                     -0.10525944
                  6.2239                     -0.10966166
                  6.2388                     -0.11406645
                  6.2537                      -0.1184737
                  6.2686                     -0.12288329
                  6.2835                     -0.12729513
                  6.2984                     -0.13170909
                  6.3133                     -0.13612507
                  6.3282                     -0.14054295
                  6.3431                     -0.14496262
                   6.358                     -0.14938396
                  6.3729                     -0.15380685
                  6.3878                     -0.15823117
                  6.4027                     -0.16265679
                  6.4176                     -0.16708361
                  6.4325                     -0.17151148
                  6.4474                     -0.17594028
                  6.4623                     -0.18036989
                  6.4772                     -0.18480017
                  6.4921                       -0.189231
                   6.507                     -0.19366223
                  6.5219                     -0.19809373
                  6.5368                     -0.20252537
                  6.5517                       -0.206957
                  6.5666                     -0.21138849
                  6.5815                     -0.21581969
                  6.5964                     -0.22025046
                  6.6113                     -0.22468066
                  6.6262                     -0.22911013
                  6.6411                     -0.23353873
                   6.656                     -0.23796631
                  6.6709                     -0.24239271
                  6.6858                     -0.24681778
                  6.7007                     -0.25124136
                  6.7156                      -0.2556633
                  6.7305                     -0.26008344
                  6.7454                     -0.26450161
                  6.7603                     -0.26891766
                  6.7752                     -0.27333142
                  6.7901                     -0.27774271
                   6.805                     -0.28215138
                  6.8199                     -0.28655726
                  6.8348                     -0.29096017
                  6.8497                     -0.29535994
                  6.8646                      -0.2997564
                  6.8795                     -0.30414936
                  6.8944                     -0.30853866
                  6.9093                      -0.3129241
                  6.9242                     -0.31730552
                  6.9391                     -0.32168273
                   6.954                     -0.32605553
                  6.9689                     -0.33042375
                  6.9838                      -0.3347872
                  6.9987                     -0.33914569
                  7.0136                     -0.34349903
                  7.0285                     -0.34784702
                  7.0434                     -0.35218947
                  7.0583                     -0.35652619
                  7.0732                     -0.36085697
                  7.0881                     -0.36518162
                   7.103                     -0.36949994
                  7.1179                     -0.37381172
                  7.1328                     -0.37811677
                  7.1477                     -0.38241487
                  7.1626                     -0.38670583
                  7.1775                     -0.39098943
                  7.1924                     -0.39526546
                  7.2073                     -0.39953372
                  7.2222                     -0.40379398
                  7.2371                     -0.40804605
                   7.252                      -0.4122897
                  7.2669                     -0.41652472
                  7.2818                      -0.4207509
                  7.2967                       -0.424968
                  7.3116                     -0.42917582
                  7.3265                     -0.43337413
                  7.3414                     -0.43756271
                  7.3563                     -0.44174134
                  7.3712                      -0.4459098
                  7.3861                     -0.45006785
                   7.401                     -0.45421528
                  7.4159                     -0.45835185
                  7.4308                     -0.46247733
                  7.4457                     -0.46659151
                  7.4606                     -0.47069414
                  7.4755                       -0.474785
                  7.4904                     -0.47886385
                  7.5053                     -0.48293046
                  7.5202                     -0.48698461
                  7.5351                     -0.49102604
                    7.55                     -0.49505454
                  7.5649                     -0.49906986
                  7.5798                     -0.50307176
                  7.5947                     -0.50706002
                  7.6096                     -0.51103439
                  7.6245                     -0.51499464
                  7.6394                     -0.51894052
                  7.6543                      -0.5228718
                  7.6692                     -0.52678825
                  7.6841                     -0.53068961
                   7.699                     -0.53457565
                  7.7139                     -0.53844613
                  7.7288                      -0.5423008
                  7.7437                     -0.54613944
                  7.7586                      -0.5499618
                  7.7735                     -0.55376763
                  7.7884                     -0.55755671
                  7.8033                     -0.56132877
                  7.8182                      -0.5650836
                  7.8331                     -0.56882094
                   7.848                     -0.57254055
                  7.8629                      -0.5762422
                  7.8778                     -0.57992565
                  7.8927                     -0.58359065
                  7.9076                     -0.58723697
                  7.9225                     -0.59086436
                  7.9374                      -0.5944726
                  7.9523                     -0.59806144
                  7.9672                     -0.60163064
                  7.9821                     -0.60517998
                   7.997                      -0.6087092
                  8.0119                     -0.61221809
                  8.0268                     -0.61570639
                  8.0417                     -0.61917389
                  8.0566                     -0.62262035
                  8.0715                     -0.62604553
                  8.0864                      -0.6294492
                  8.1013                     -0.63283115
                  8.1162                     -0.63619113
                  8.1311                     -0.63952892
                   8.146                      -0.6428443
                  8.1609                     -0.64613704
                  8.1758                     -0.64940691
                  8.1907                      -0.6526537
                  8.2056                     -0.65587718
                  8.2205                     -0.65907714
                  8.2354                     -0.66225335
                  8.2503                     -0.66540561
                  8.2652                      -0.6685337
                  8.2801                      -0.6716374
                   8.295                     -0.67471651
                  8.3099                     -0.67777081
                  8.3248                      -0.6808001
                  8.3397                     -0.68380418
                  8.3546                     -0.68678283
                  8.3695                     -0.68973587
                  8.3844                     -0.69266309
                  8.3993                      -0.6955643
                  8.4142                     -0.69843929
                  8.4291                     -0.70128789
                   8.444                     -0.70410989
                  8.4589                     -0.70690511
                  8.4738                     -0.70967337
                  8.4887                     -0.71241449
                  8.5036                     -0.71512828
                  8.5185                     -0.71781456
                  8.5334                     -0.72047316
                  8.5483                     -0.72310392
                  8.5632                     -0.72570665
                  8.5781                      -0.7282812
                   8.593                      -0.7308274
                  8.6079                     -0.73334508
                  8.6228                      -0.7358341
                  8.6377                     -0.73829429
                  8.6526                      -0.7407255
                  8.6675                     -0.74312758
                  8.6824                      -0.7455004
                  8.6973                      -0.7478438
                  8.7122                     -0.75015764
                  8.7271                     -0.75244179
                   8.742                     -0.75469612
                  8.7569                     -0.75692049
                  8.7718                     -0.75911477
                  8.7867                     -0.76127886
                  8.8016                     -0.76341262
                  8.8165                     -0.76551593
                  8.8314                     -0.76758869
                  8.8463                     -0.76963079
                  8.8612                     -0.77164211
                  8.8761                     -0.77362256
                   8.891                     -0.77557204
                  8.9059                     -0.77749045
                  8.9208                     -0.77937771
                  8.9357                     -0.78123371
                  8.9506                     -0.78305838
                  8.9655                     -0.78485164
                  8.9804                      -0.7866134
                  8.9953                     -0.78834361
                  9.0102                     -0.79004218
                  9.0251                     -0.79170905
                    9.04                     -0.79334416
                  9.0549                     -0.79494745
                  9.0698                     -0.79651887
                  9.0847                     -0.79805836
                  9.0996                     -0.79956588
                  9.1145                     -0.80104139
                  9.1294                     -0.80248485
                  9.1443                     -0.80389622
                  9.1592                     -0.80527548
                  9.1741                     -0.80662258
                   9.189                     -0.80793752
                  9.2039                     -0.80922027
                  9.2188                     -0.81047082
                  9.2337                     -0.81168915
                  9.2486                     -0.81287526
                  9.2635                     -0.81402915
                  9.2784                      -0.8151508
                  9.2933                     -0.81624024
                  9.3082                     -0.81729746
                  9.3231                     -0.81832247
                   9.338                     -0.81931531
                  9.3529                     -0.82027597
                  9.3678                     -0.82120449
                  9.3827                     -0.82210089
                  9.3976                     -0.82296521
                  9.4125                     -0.82379748
                  9.4274                     -0.82459774
                  9.4423                     -0.82536603
                  9.4572                      -0.8261024
                  9.4721                     -0.82680689
                   9.487                     -0.82747957
                  9.5019                     -0.82812048
                  9.5168                      -0.8287297
                  9.5317                     -0.82930728
                  9.5466                      -0.8298533
                  9.5615                     -0.83036782
                  9.5764                     -0.83085093
                  9.5913                     -0.83130269
                  9.6062                      -0.8317232
                  9.6211                     -0.83211255
                   9.636                     -0.83247081
                  9.6509                     -0.83279809
                  9.6658                     -0.83309448
                  9.6807                     -0.83336008
                  9.6956                     -0.83359499
                  9.7105                     -0.83379933
                  9.7254                      -0.8339732
                  9.7403                     -0.83411671
                  9.7552                     -0.83422999
                  9.7701                     -0.83431315
                   9.785                     -0.83436631
                  9.7999                      -0.8343896
                  9.8148                     -0.83438315
                  9.8297                      -0.8343471
                  9.8446                     -0.83428157
                  9.8595                      -0.8341867
                  9.8744                     -0.83406264
                  9.8893                     -0.83390953
                  9.9042                     -0.83372751
                  9.9191                     -0.83351674
                   9.934                     -0.83327736
                  9.9489                     -0.83300953
                  9.9638                     -0.83271341
                  9.9787                     -0.83238916
                  9.9936                     -0.83203693
                 10.0085                      -0.8316569
                 10.0234                     -0.83124923
                 10.0383                     -0.83081409
                 10.0532                     -0.83035165
                 10.0681                     -0.82986208
                  10.083                     -0.82934557
                 10.0979                     -0.82880228
                 10.1128                     -0.82823241
                 10.1277                     -0.82763612
                 10.1426                     -0.82701362
                 10.1575                     -0.82636508
                 10.1724                     -0.82569068
                 10.1873                     -0.82499063
                 10.2022                     -0.82426512
                 10.2171                     -0.82351433
                  10.232                     -0.82273846
                 10.2469                     -0.82193771
                 10.2618                     -0.82111228
                 10.2767                     -0.82026236
                 10.2916                     -0.81938817
                 10.3065                     -0.81848989
                 10.3214                     -0.81756775
                 10.3363                     -0.81662193
                 10.3512                     -0.81565266
                 10.3661                     -0.81466013
                  10.381                     -0.81364457
                 10.3959                     -0.81260616
                 10.4108                     -0.81154514
                 10.4257                     -0.81046171
                 10.4406                     -0.80935608
                 10.4555                     -0.80822848
                 10.4704                     -0.80707911
                 10.4853                     -0.80590819
                 10.5002                     -0.80471593
                 10.5151                     -0.80350257
                   10.53                     -0.80226831
                 10.5449                     -0.80101337
                 10.5598                     -0.79973797
                 10.5747                     -0.79844234
                 10.5896                     -0.79712669
                 10.6045                     -0.79579124
                 10.6194                     -0.79443622
                 10.6343                     -0.79306185
                 10.6492                     -0.79166835
                 10.6641                     -0.79025593
                  10.679                     -0.78882483
                 10.6939                     -0.78737527
                 10.7088                     -0.78590747
                 10.7237                     -0.78442165
                 10.7386                     -0.78291803
                 10.7535                     -0.78139684
                 10.7684                      -0.7798583
