        Frequency / GHz                SZmin(1),Zmax(1) (Lx=8) (Re)/
                  3.4674                      0.98942614
                  3.4823                      0.98933094
                  3.4972                      0.98923527
                  3.5121                      0.98913912
                   3.527                       0.9890425
                  3.5419                      0.98894539
                  3.5568                       0.9888478
                  3.5717                      0.98874974
                  3.5866                      0.98865119
                  3.6015                      0.98855216
                  3.6164                      0.98845264
                  3.6313                      0.98835264
                  3.6462                      0.98825216
                  3.6611                      0.98815119
                   3.676                      0.98804973
                  3.6909                      0.98794779
                  3.7058                      0.98784536
                  3.7207                      0.98774244
                  3.7356                      0.98763903
                  3.7505                      0.98753513
                  3.7654                      0.98743073
                  3.7803                      0.98732585
                  3.7952                      0.98722047
                  3.8101                      0.98711459
                   3.825                      0.98700822
                  3.8399                      0.98690135
                  3.8548                      0.98679399
                  3.8697                      0.98668613
                  3.8846                      0.98657777
                  3.8995                      0.98646891
                  3.9144                      0.98635955
                  3.9293                      0.98624968
                  3.9442                      0.98613932
                  3.9591                      0.98602845
                   3.974                      0.98591708
                  3.9889                       0.9858052
                  4.0038                      0.98569281
                  4.0187                      0.98557992
                  4.0336                      0.98546652
                  4.0485                       0.9853526
                  4.0634                      0.98523818
                  4.0783                      0.98512325
                  4.0932                      0.98500781
                  4.1081                      0.98489185
                   4.123                      0.98477537
                  4.1379                      0.98465839
                  4.1528                      0.98454088
                  4.1677                      0.98442286
                  4.1826                      0.98430432
                  4.1975                      0.98418526
                  4.2124                      0.98406569
                  4.2273                      0.98394559
                  4.2422                      0.98382496
                  4.2571                      0.98370382
                   4.272                      0.98358215
                  4.2869                      0.98345995
                  4.3018                      0.98333723
                  4.3167                      0.98321398
                  4.3316                       0.9830902
                  4.3465                       0.9829659
                  4.3614                      0.98284106
                  4.3763                      0.98271569
                  4.3912                      0.98258978
                  4.4061                      0.98246335
                   4.421                      0.98233638
                  4.4359                      0.98220887
                  4.4508                      0.98208082
                  4.4657                      0.98195224
                  4.4806                      0.98182312
                  4.4955                      0.98169345
                  4.5104                      0.98156325
                  4.5253                       0.9814325
                  4.5402                      0.98130121
                  4.5551                      0.98116937
                    4.57                      0.98103699
                  4.5849                      0.98090406
                  4.5998                      0.98077058
                  4.6147                      0.98063655
                  4.6296                      0.98050197
                  4.6445                      0.98036684
                  4.6594                      0.98023115
                  4.6743                      0.98009491
                  4.6892                      0.97995812
                  4.7041                      0.97982077
                   4.719                      0.97968286
                  4.7339                      0.97954439
                  4.7488                      0.97940536
                  4.7637                      0.97926577
                  4.7786                      0.97912562
                  4.7935                       0.9789849
                  4.8084                      0.97884362
                  4.8233                      0.97870177
                  4.8382                      0.97855935
                  4.8531                      0.97841636
                   4.868                       0.9782728
                  4.8829                      0.97812868
                  4.8978                      0.97798397
                  4.9127                       0.9778387
                  4.9276                      0.97769285
                  4.9425                      0.97754642
                  4.9574                      0.97739941
                  4.9723                      0.97725183
                  4.9872                      0.97710366
                  5.0021                      0.97695491
                   5.017                      0.97680558
                  5.0319                      0.97665566
                  5.0468                      0.97650516
                  5.0617                      0.97635407
                  5.0766                      0.97620239
                  5.0915                      0.97605012
                  5.1064                      0.97589726
                  5.1213                      0.97574381
                  5.1362                      0.97558976
                  5.1511                      0.97543512
                   5.166                      0.97527988
                  5.1809                      0.97512404
                  5.1958                       0.9749676
                  5.2107                      0.97481056
                  5.2256                      0.97465291
                  5.2405                      0.97449467
                  5.2554                      0.97433581
                  5.2703                      0.97417635
                  5.2852                      0.97401628
                  5.3001                       0.9738556
                   5.315                      0.97369431
                  5.3299                      0.97353241
                  5.3448                      0.97336989
                  5.3597                      0.97320675
                  5.3746                        0.973043
                  5.3895                      0.97287863
                  5.4044                      0.97271364
                  5.4193                      0.97254802
                  5.4342                      0.97238178
                  5.4491                      0.97221492
                   5.464                      0.97204743
                  5.4789                      0.97187931
                  5.4938                      0.97171056
                  5.5087                      0.97154118
                  5.5236                      0.97137117
                  5.5385                      0.97120052
                  5.5534                      0.97102924
                  5.5683                      0.97085731
                  5.5832                      0.97068475
                  5.5981                      0.97051155
                   5.613                       0.9703377
                  5.6279                      0.97016321
                  5.6428                      0.96998808
                  5.6577                      0.96981229
                  5.6726                      0.96963586
                  5.6875                      0.96945877
                  5.7024                      0.96928103
                  5.7173                      0.96910264
                  5.7322                      0.96892359
                  5.7471                      0.96874388
                   5.762                      0.96856351
                  5.7769                      0.96838248
                  5.7918                      0.96820079
                  5.8067                      0.96801843
                  5.8216                      0.96783541
                  5.8365                      0.96765171
                  5.8514                      0.96746735
                  5.8663                      0.96728231
                  5.8812                       0.9670966
                  5.8961                      0.96691022
                   5.911                      0.96672315
                  5.9259                      0.96653541
                  5.9408                      0.96634699
                  5.9557                      0.96615788
                  5.9706                      0.96596809
                  5.9855                      0.96577761
                  6.0004                      0.96558644
                  6.0153                      0.96539458
                  6.0302                      0.96520202
                  6.0451                      0.96500878
                    6.06                      0.96481483
                  6.0749                      0.96462019
                  6.0898                      0.96442485
                  6.1047                       0.9642288
                  6.1196                      0.96403205
                  6.1345                      0.96383459
                  6.1494                      0.96363643
                  6.1643                      0.96343755
                  6.1792                      0.96323797
                  6.1941                      0.96303766
                   6.209                      0.96283664
                  6.2239                      0.96263491
                  6.2388                      0.96243245
                  6.2537                      0.96222927
                  6.2686                      0.96202536
                  6.2835                      0.96182073
                  6.2984                      0.96161537
                  6.3133                      0.96140927
                  6.3282                      0.96120245
                  6.3431                      0.96099489
                   6.358                      0.96078659
                  6.3729                      0.96057755
                  6.3878                      0.96036777
                  6.4027                      0.96015724
                  6.4176                      0.95994597
                  6.4325                      0.95973395
                  6.4474                      0.95952118
                  6.4623                      0.95930765
                  6.4772                      0.95909337
                  6.4921                      0.95887834
                   6.507                      0.95866254
                  6.5219                      0.95844598
                  6.5368                      0.95822866
                  6.5517                      0.95801056
                  6.5666                       0.9577917
                  6.5815                      0.95757207
                  6.5964                      0.95735167
                  6.6113                      0.95713049
                  6.6262                      0.95690853
                  6.6411                      0.95668578
                   6.656                      0.95646226
                  6.6709                      0.95623795
                  6.6858                      0.95601285
                  6.7007                      0.95578696
                  6.7156                      0.95556028
                  6.7305                       0.9553328
                  6.7454                      0.95510452
                  6.7603                      0.95487544
                  6.7752                      0.95464556
                  6.7901                      0.95441487
                   6.805                      0.95418338
                  6.8199                      0.95395107
                  6.8348                      0.95371795
                  6.8497                      0.95348402
                  6.8646                      0.95324926
                  6.8795                      0.95301368
                  6.8944                      0.95277728
                  6.9093                      0.95254006
                  6.9242                        0.952302
                  6.9391                      0.95206311
                   6.954                      0.95182339
                  6.9689                      0.95158282
                  6.9838                      0.95134142
                  6.9987                      0.95109918
                  7.0136                      0.95085609
                  7.0285                      0.95061215
                  7.0434                      0.95036736
                  7.0583                      0.95012171
                  7.0732                      0.94987521
                  7.0881                      0.94962785
                   7.103                      0.94937962
                  7.1179                      0.94913053
                  7.1328                      0.94888057
                  7.1477                      0.94862974
                  7.1626                      0.94837804
                  7.1775                      0.94812546
                  7.1924                      0.94787199
                  7.2073                      0.94761765
                  7.2222                      0.94736241
                  7.2371                      0.94710629
                   7.252                      0.94684928
                  7.2669                      0.94659136
                  7.2818                      0.94633256
                  7.2967                      0.94607285
                  7.3116                      0.94581223
                  7.3265                      0.94555071
                  7.3414                      0.94528827
                  7.3563                      0.94502492
                  7.3712                      0.94476066
                  7.3861                      0.94449547
                   7.401                      0.94422936
                  7.4159                      0.94396232
                  7.4308                      0.94369435
                  7.4457                      0.94342545
                  7.4606                      0.94315561
                  7.4755                      0.94288483
                  7.4904                       0.9426131
                  7.5053                      0.94234043
                  7.5202                      0.94206681
                  7.5351                      0.94179223
                    7.55                       0.9415167
                  7.5649                      0.94124021
                  7.5798                      0.94096275
                  7.5947                      0.94068432
                  7.6096                      0.94040493
                  7.6245                      0.94012455
                  7.6394                       0.9398432
                  7.6543                      0.93956087
                  7.6692                      0.93927755
                  7.6841                      0.93899325
                   7.699                      0.93870795
                  7.7139                      0.93842165
                  7.7288                      0.93813435
                  7.7437                      0.93784605
                  7.7586                      0.93755675
                  7.7735                      0.93726643
                  7.7884                      0.93697509
                  7.8033                      0.93668274
                  7.8182                      0.93638936
                  7.8331                      0.93609496
                   7.848                      0.93579953
                  7.8629                      0.93550306
                  7.8778                      0.93520556
                  7.8927                      0.93490701
                  7.9076                      0.93460741
                  7.9225                      0.93430677
                  7.9374                      0.93400507
                  7.9523                      0.93370232
                  7.9672                       0.9333985
                  7.9821                      0.93309361
                   7.997                      0.93278766
                  8.0119                      0.93248063
                  8.0268                      0.93217252
                  8.0417                      0.93186333
                  8.0566                      0.93155305
                  8.0715                      0.93124168
                  8.0864                      0.93092921
                  8.1013                      0.93061565
                  8.1162                      0.93030098
                  8.1311                       0.9299852
                   8.146                      0.92966831
                  8.1609                       0.9293503
                  8.1758                      0.92903117
                  8.1907                      0.92871091
                  8.2056                      0.92838952
                  8.2205                        0.928067
                  8.2354                      0.92774334
                  8.2503                      0.92741853
                  8.2652                      0.92709257
                  8.2801                      0.92676546
                   8.295                      0.92643719
                  8.3099                      0.92610776
                  8.3248                      0.92577717
                  8.3397                       0.9254454
                  8.3546                      0.92511245
                  8.3695                      0.92477832
                  8.3844                        0.924443
                  8.3993                      0.92410649
                  8.4142                      0.92376879
                  8.4291                      0.92342988
                   8.444                      0.92308977
                  8.4589                      0.92274845
                  8.4738                      0.92240591
                  8.4887                      0.92206215
                  8.5036                      0.92171716
                  8.5185                      0.92137094
                  8.5334                      0.92102349
                  8.5483                      0.92067479
                  8.5632                      0.92032485
                  8.5781                      0.91997365
                   8.593                       0.9196212
                  8.6079                      0.91926748
                  8.6228                       0.9189125
                  8.6377                      0.91855624
                  8.6526                       0.9181987
                  8.6675                      0.91783988
                  8.6824                      0.91747977
                  8.6973                      0.91711836
                  8.7122                      0.91675566
                  8.7271                      0.91639164
                   8.742                      0.91602632
                  8.7569                      0.91565968
                  8.7718                      0.91529171
                  8.7867                      0.91492242
                  8.8016                      0.91455179
                  8.8165                      0.91417982
